Date,User,Operation,Field Name,Old Value,New Value,Record ID,Record Type
07/17/2025 03:12,Amol Gayakwad,Edit,extractSprText,,true,1780,Collection Protocol
07/17/2025 03:12,Amol Gayakwad,Edit,storeSprEnabled,,true,1780,Collection Protocol
07/11/2025 06:40,Amol Gayakwad,Edit,code,,ag2112,1780,Collection Protocol
